iter	Logloss
0	0.5940908305
1	0.5339538458
2	0.4782063646
3	0.4498523125
4	0.4258678256
5	0.4079808244
6	0.3956466885
7	0.3832989881
8	0.3727350492
9	0.3663464344
10	0.3610079341
11	0.357262337
12	0.3542621158
13	0.350676359
14	0.3477814889
15	0.3460035878
16	0.3439553661
17	0.3411977818
18	0.3388521038
19	0.336741311
20	0.3346642974
21	0.3318612358
22	0.3295585787
23	0.3283474702
24	0.3268693039
25	0.3255674891
26	0.3245763843
27	0.3227476239
28	0.3215987372
29	0.3207200267
30	0.3197942108
31	0.3189602523
32	0.3171615811
33	0.3160900763
34	0.3152785098
35	0.3143069396
36	0.3127761844
37	0.311324798
38	0.3095991823
39	0.3088991114
40	0.3082202495
41	0.3065417836
42	0.3054953285
43	0.3043795766
44	0.3034081818
45	0.3028190443
46	0.3019983382
47	0.3015087964
48	0.300326018
49	0.299648378
50	0.2987931033
51	0.2974050826
52	0.2956453842
53	0.2950813183
54	0.2938971598
55	0.2930851208
56	0.2922840182
57	0.2910429679
58	0.290297721
59	0.2888122435
60	0.2879160647
61	0.28707691
62	0.2863320697
63	0.2855826529
64	0.2847549029
65	0.2836397936
66	0.2829774946
67	0.2824101856
68	0.2817211585
69	0.2804410211
70	0.2794235932
71	0.2783275794
72	0.2774314929
73	0.2764556144
74	0.2751219812
75	0.2731974474
76	0.2724160591
77	0.2717453637
78	0.270972925
79	0.2703575388
80	0.2698104159
81	0.2689328444
82	0.2683061786
83	0.2674204064
84	0.2665957785
85	0.2657466552
86	0.2650515396
87	0.2643190092
88	0.2638757282
89	0.2631110675
90	0.2622166363
91	0.2615505322
92	0.2597536504
93	0.259139189
94	0.258646847
95	0.2576515047
96	0.2570959352
97	0.2565408806
98	0.2559290169
99	0.2551566126
100	0.2547412137
101	0.2540769136
102	0.2537005459
103	0.2530830564
104	0.2522902033
105	0.251921683
106	0.2510794448
107	0.250637668
108	0.2497656332
109	0.2493318472
110	0.2487293697
111	0.247935428
112	0.2476140266
113	0.2472398189
114	0.2465478384
115	0.2460079162
116	0.2454583835
117	0.2448165929
118	0.2444193845
119	0.2438054245
120	0.2433864095
121	0.2429389535
122	0.2421966192
123	0.2418035319
124	0.241081631
125	0.2405985935
126	0.2400226025
127	0.2393308963
128	0.2388734294
129	0.2384443336
130	0.2378953808
131	0.2374464235
132	0.2369189786
133	0.2364453628
134	0.2360507796
135	0.235394266
136	0.2346673079
137	0.2343539264
138	0.2337814679
139	0.2331726133
140	0.2326017131
141	0.2320295719
142	0.2313775368
143	0.2308220562
144	0.2302932048
145	0.2298231775
146	0.2293514034
147	0.2286488824
148	0.2278053186
149	0.227256688
150	0.2267750778
151	0.2265269934
152	0.2259518625
153	0.2256387324
154	0.2252056569
155	0.2242839627
156	0.223803577
157	0.2233459563
158	0.2227285835
159	0.2223036332
160	0.2219088851
161	0.2215255139
162	0.2210681901
163	0.2205749644
164	0.2200507027
165	0.2195211991
166	0.2190915579
167	0.2187207139
168	0.2179338845
169	0.217530317
170	0.216712494
171	0.2163487884
172	0.2160019327
173	0.2156877192
174	0.2148803253
175	0.2144846169
176	0.2140677158
177	0.2133976785
178	0.2130302815
179	0.2126706746
180	0.2123670909
181	0.2119946214
182	0.2115551412
183	0.2111747764
184	0.210751608
185	0.2104174992
186	0.2098071765
187	0.2094076767
188	0.2090595748
189	0.2086639924
190	0.2083691303
191	0.2079754536
192	0.2076270278
193	0.2073342222
194	0.2069765556
195	0.2066965201
196	0.2062510616
197	0.2056349064
198	0.20520458
199	0.2048511654
